"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.231611470E-1,-6.750751138E-1,1.039083242E0,9.593125343E0,9.672821421E0
5.256851050E-1,-8.306085467E-1,9.361918569E-1,9.779765129E0,9.859521881E0
5.282090640E-1,-7.779664397E-1,8.668000102E-1,9.712766647E0,9.782351966E0
5.307330220E-1,-5.602195859E-1,8.787640929E-1,9.506983757E0,9.563932898E0
5.332569800E-1,-2.946162820E-1,9.026923180E-1,9.231510162E0,9.280217242E0
5.357809390E-1,-4.307080805E-2,8.739784956E-1,9.059226990E0,9.101389298E0
5.383048970E-1,2.560320199E-1,8.572286963E-1,9.001798630E0,9.046146804E0
5.408288550E-1,9.290133715E-1,1.086939692E0,9.363413811E0,9.471959772E0
5.433528140E-1,3.492922783E0,2.015953064E0,1.327059460E1,1.386986868E1
5.458767720E-1,8.623434067E0,3.586242914E0,2.370868492E1,2.548188561E1
5.484007300E-1,1.695733643E1,5.197509766E0,3.210240936E1,3.667601469E1
5.509246890E-1,1.625354767E1,5.729015827E0,3.063500977E1,3.514972628E1
5.534486470E-1,1.338066387E1,6.294020653E0,2.379961205E1,2.801925044E1
5.559726050E-1,9.964311600E0,6.444768906E0,1.655025673E1,2.036500797E1
5.584965640E-1,6.313163280E0,6.179165363E0,1.103450203E1,1.413500443E1
5.610205220E-1,2.973381281E0,5.762515068E0,7.368996620E0,9.815787658E0
5.635444800E-1,6.822535396E-1,5.561518192E0,4.874478817E0,7.426742101E0
5.660684390E-1,-7.396813035E-1,5.183153152E0,3.270390272E0,6.173140009E0
5.685923970E-1,-1.352542996E0,4.699503899E0,2.224128723E0,5.372286108E0
5.711163550E-1,-1.431805253E0,3.998107433E0,1.618445396E0,4.544699642E0
5.736403140E-1,-1.266401410E0,3.169891834E0,1.496411443E0,3.727094576E0
5.761642720E-1,-1.036690354E0,2.255235434E0,1.687837243E0,3.001600958E0
5.786882300E-1,-7.420741320E-1,1.364507079E0,2.111665964E0,2.621390229E0
5.812121890E-1,-4.022932947E-1,5.410770178E-1,2.822633505E0,2.902044820E0
5.837361470E-1,-7.657032460E-2,-2.297109663E-1,3.787539244E0,3.795271224E0
5.862601050E-1,1.842473447E-1,-9.194421172E-1,4.857728958E0,4.947408566E0
5.887840640E-1,3.305086195E-1,-1.508375525E0,5.920740604E0,6.118790892E0
5.913080220E-1,2.321037948E-1,-2.114058733E0,6.811169624E0,7.135485138E0
5.938319800E-1,2.632104978E-2,-2.564208508E0,7.550850868E0,7.974409502E0
5.963559390E-1,-1.722832322E-1,-2.722134829E0,8.250153542E0,8.689345948E0
5.988798970E-1,-3.592225015E-1,-2.712563515E0,8.863015175E0,9.275779192E0
6.014038550E-1,-5.123631358E-1,-2.535494804E0,9.413662910E0,9.762596954E0
6.039278140E-1,-6.750751138E-1,-2.288734913E0,9.813264847E0,1.009921783E1
6.064517720E-1,-8.668000102E-1,-2.049452543E0,9.926026344E0,1.017239387E1
6.089757300E-1,-1.098903775E0,-1.826620936E0,9.873384476E0,1.010088385E1
6.114996890E-1,-1.376471281E0,-1.599302888E0,9.765408516E0,9.990778068E0
6.140236470E-1,-1.599302888E0,-1.393221021E0,9.739087105E0,9.967379404E0
6.165476050E-1,-1.788335800E0,-1.256830096E0,9.803693771E0,1.004441031E1
6.190715640E-1,-2.003988981E0,-1.242473125E0,9.842277527E0,1.012077755E1
6.215955220E-1,-2.228914261E0,-1.328614831E0,9.911669731E0,1.024570510E1
6.241194800E-1,-2.382055044E0,-1.362114310E0,9.952347755E0,1.032369931E1
6.266434390E-1,-2.465803623E0,-1.395613790E0,1.002891827E1,1.042147432E1
6.291673970E-1,-2.600100994E0,-1.415055513E0,1.006959629E1,1.049569801E1
6.316913550E-1,-2.722134829E0,-1.453340650E0,1.007438183E1,1.053638393E1
6.342153140E-1,-2.896811008E0,-1.484447360E0,1.006720352E1,1.058034426E1
6.367392720E-1,-3.085843801E0,-1.515554070E0,1.008156013E1,1.065162855E1
6.392632300E-1,-3.445066452E0,-1.575374603E0,1.035673428E1,1.102779365E1
6.417871890E-1,-4.041178226E0,-1.690230131E0,1.119960594E1,1.202577119E1
6.443111470E-1,-4.515256405E0,-1.852941990E0,1.264098263E1,1.355047513E1
6.468351050E-1,-4.462614059E0,-1.980060697E0,1.454178143E1,1.533945800E1
6.493590640E-1,-4.026821613E0,-1.992024899E0,1.659601974E1,1.719335124E1
6.518830220E-1,-3.327818155E0,-1.864906192E0,1.850878143E1,1.889781043E1
6.544069800E-1,-2.829811811E0,-1.790728688E0,2.056541252E1,2.083628413E1
6.569309390E-1,-2.688635349E0,-1.781157374E0,2.169063759E1,2.192909119E1
6.594548970E-1,-2.484946251E0,-1.817049742E0,2.135773659E1,2.157845082E1
6.619788550E-1,-2.322234392E0,-1.903191328E0,2.000040817E1,2.022452068E1
6.645028140E-1,-2.123630047E0,-1.919941068E0,1.849203300E1,1.871232917E1
6.670267720E-1,-1.989632010E0,-1.929512382E0,1.705065536E1,1.727444650E1
6.695507300E-1,-1.783550143E0,-1.881655931E0,1.578904057E1,1.600048381E1
6.720746890E-1,-1.395613790E0,-1.802692771E0,1.392413425E1,1.410953415E1
6.745986470E-1,8.374879509E-2,-1.489233017E0,4.893621445E0,5.115892853E0
6.771226050E-1,2.321037948E-1,-1.098903775E0,4.831408024E0,4.960238419E0
6.796465640E-1,-2.392822653E-1,-8.377870321E-1,7.596613884E0,7.646416521E0
6.821705220E-1,-6.966105103E-1,-1.137188911E0,8.398508072E0,8.503728750E0
6.846944800E-1,-8.018946648E-1,-1.271187067E0,8.209475517E0,8.345923549E0
6.872184390E-1,-4.549354017E-1,-1.522732496E0,7.364210606E0,7.533742650E0
6.897423970E-1,1.890329868E-1,-1.486840129E0,6.049952984E0,6.232845108E0
6.922663550E-1,7.085745931E-1,-7.396813035E-1,5.037190914E0,5.140281966E0
6.947903140E-1,3.759722710E-1,-1.651047617E-1,4.527220249E0,4.545804430E0
6.973142720E-1,-9.092725813E-2,-2.632104978E-2,3.947858334E0,3.948993034E0
6.998382300E-1,-3.735794425E-1,2.560320199E-1,3.497708559E0,3.526907875E0
7.023621890E-1,-5.362913609E-1,6.248258352E-1,3.464209080E0,3.560724687E0
7.048861470E-1,-8.330013752E-1,8.377870321E-1,3.919144392E0,4.093344741E0
7.074101050E-1,-1.170688510E0,9.002995491E-1,4.402793884E0,4.643882519E0
7.099340640E-1,-1.613659739E0,8.715856671E-1,4.555934429E0,4.911221625E0
7.124580220E-1,-2.255235434E0,9.314061999E-1,3.792324781E0,4.509471324E0
7.149819800E-1,-2.901596546E0,8.763712645E-1,3.423531055E0,4.572510689E0
7.175059390E-1,-3.466601849E0,7.013961077E-1,4.584648132E0,5.790361247E0
7.200298970E-1,-3.897608995E0,4.980062246E-1,6.203093529E0,7.342869698E0
7.225538550E-1,-4.283152580E0,3.448655605E-1,7.922037601E0,9.012380820E0
7.250778140E-1,-4.591826439E0,2.826521695E-1,9.327521324E0,1.040035655E1
7.276017720E-1,-4.764110088E0,2.129612118E-1,1.015334511E1,1.121750927E1
7.301257300E-1,-4.860121727E0,1.579262912E-1,1.041924667E1,1.149810529E1
7.326496890E-1,-4.972584724E0,1.627119333E-1,1.035434151E1,1.148762212E1
7.351736470E-1,-5.118546963E0,2.177468538E-1,1.004806042E1,1.127876123E1
7.376976050E-1,-5.367699623E0,3.664009571E-1,9.729516029E0,1.111800032E1
7.402215640E-1,-5.650052547E0,4.740779996E-1,9.573982239E0,1.112694835E1
7.427455220E-1,-5.846263885E0,5.482555032E-1,9.710372925E0,1.134771906E1
7.452694800E-1,-6.021239281E0,5.745765567E-1,1.007677460E1,1.175273785E1
7.477934390E-1,-6.183950901E0,5.673980713E-1,1.047906780E1,1.218088877E1
7.503173970E-1,-6.291627884E0,5.362913609E-1,1.079013443E1,1.250196748E1
7.528413550E-1,-6.291627884E0,5.482555032E-1,1.102493000E1,1.270567775E1
7.553653140E-1,-5.874977589E0,2.946162820E-1,1.105603695E1,1.252350244E1
7.578892720E-1,-5.238187790E0,-3.161516786E-1,1.156840038E1,1.270300951E1
7.604132300E-1,-5.571089268E0,-5.027918816E-1,1.313629723E1,1.427767979E1
7.629371890E-1,-5.108975410E0,-5.578267574E-1,1.448196125E1,1.536684750E1
7.654611470E-1,-4.948656559E0,-7.229315639E-1,1.541785336E1,1.620870241E1
7.679851050E-1,-5.022833824E0,-7.660023570E-1,1.525992775E1,1.608356348E1
7.705090640E-1,-4.512863636E0,-9.290133715E-1,1.408684635E1,1.482120927E1
7.730330220E-1,-3.859323740E0,-1.185045362E0,1.255693531E1,1.318997106E1
7.755569800E-1,-3.217748165E0,-1.338186026E0,1.123549843E1,1.176354836E1
